"event.year";"event.city";"awarding.country";"pts";"recipient.country";"event.type";"event.id";"page"
1957;"Frankfurt";"Austria";6;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Austria";3;"Luxembourg";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Austria";1;"United Kingdom";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Belgium";5;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Belgium";2;"France";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Belgium";1;"United Kingdom";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Belgium";1;"Italy";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Belgium";1;"Germany";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Denmark";3;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Denmark";2;"Belgium";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Denmark";2;"France";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Denmark";2;"Switzerland";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Denmark";1;"Italy";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"France";6;"Germany";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"France";4;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Germany";6;"France";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Germany";2;"Belgium";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Germany";1;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Germany";1;"Switzerland";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Italy";4;"Luxembourg";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Italy";3;"Denmark";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Italy";1;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Italy";1;"Germany";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Italy";1;"Switzerland";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Luxembourg";4;"France";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Luxembourg";3;"The Netherlands";"final";"frankfurt-1957";"scoreboard"
1957;"Frankfurt";"Luxembourg";1;"United Kingdom";"final";"frankfurt-1957";"scoreboard"
